Stock Number,Name,Brand,Collection,Department,Item Type,Styles,Gender,Materials,Description,Image 1,Details,Availability,Price Notes,Price,Width,Fit,Settings,Total Carat Weight,xItem Sub Type
"RG11119WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","57RD=.44 18KW","https://bassalijewelry.com/images/items/RG11119WD.jpg","","1","","1890","","","","","Band"
"RG11120D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K Yellow Gold","10RD=.19 18KY","https://bassalijewelry.com/images/items/RG11120D.jpg","","1","","1050","","","","","Band"
"RG11120KD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K Rose Gold","10RD=.19 18KR","https://bassalijewelry.com/images/items/RG11120KD.jpg","","3","","1050","","","","","Band"
"RG11120WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","10RD=.19 18KW","https://bassalijewelry.com/images/items/RG11120WD.jpg","","1","","1050","","","","","Band"
"RG11121WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","9RD=.28 12PD=.18 18KW","https://bassalijewelry.com/images/items/RG11121WD (2).jpg","","1","","2010","","","","","Band"
"RG11122D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K Yellow Gold","17RD=.32 18KY","https://bassalijewelry.com/images/items/RG11122D.jpg","","1","","1320","","","","","Band"
"RG11164KDPSAM","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","92PS=1.00 45AM=.84 14K","https://bassalijewelry.com/images/items/RG11164KDPSAM.jpg","","1","","1650","","","","","Fashion"
"RG11164OSYS","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","92OS=1.00 45YS=.84 14K","https://bassalijewelry.com/images/items/RG11164KDPSA.jpg","","1","","1530","","","","","Fashion"
"RG11181WDE","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","50RD=.25 12RD/EMER E=.75 18KW","https://bassalijewelry.com/images/items/RG11181WDE.jpg","","1","","4350","","","","","Band"
"RG11181WDR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","50RD=.25 12RD/RUBY R=.67 18K","https://bassalijewelry.com/images/items/RG11181WDR.jpg","","1","","3120","","","","","Band"
"RG11184WDE","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","5RD=.08 6RD/EMER E=.16 18K","https://bassalijewelry.com/images/items/RG11184WDE (2).jpg","","3","","1350","","","","","Band"
"RG11184WDR","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","5RD=.08 6RD/RUBY R=.17 18KW","https://bassalijewelry.com/images/items/RG11184WDR (2).jpg","","3","","1200","","","","","Band"
"RG11184WDS","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","5RD=.08 6RD/SAPH S=.19 18K","https://bassalijewelry.com/images/items/RG11184WDS.jpg","","4","","1200","","","","","Band"
"RG11211DLP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","38RD=.20 1EC/LAPS LP=2.88 14K","https://bassalijewelry.com/images/items/RG11211DLP.jpg","","1","","1740","","","","","Centerstone"
"RG11211WDA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","38RD=.20 1EC/AMET A=3.90 14K","https://bassalijewelry.com/images/items/RG11211WDA.jpg","","1","","1740","","","","","Centerstone"
"RG11223DCH","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","24RD=.14 7CH=.08 14K","https://bassalijewelry.com/images/items/RG11223DCH.jpg","","1","","900","","","","","Fashion"
"RG11223WDS","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","24RD=.14 7SA=.09 14K","https://bassalijewelry.com/images/items/RG11223WDS.jpg","","2","","900","","","","","Fashion"
"RG11224D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Yellow Gold","7RD=.25 14K","https://bassalijewelry.com/images/items/RG11224D.jpg","","1","","1020","","","","","Band"
"RG11224KD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","14K Rose Gold","7RD=.25 14K","https://bassalijewelry.com/images/items/RG11224KD.jpg","","1","","1020","","","","","Band"
"RG11225D","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","25RD=.16 14K","https://bassalijewelry.com/images/items/RG11225D.jpg","","1","","780","","","","","Fashion"
"RG11225KD","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","25RD=.16 14K","https://bassalijewelry.com/images/items/RG11225KD.jpg","","1","","780","","","","","Fashion"
"RG11227DAZ","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","70RD=.22 1AZ=.68 14KY","https://bassalijewelry.com/images/items/RG11227DAZ.jpg","","1","","1440","","","","","Fashion"
"RG11227DLP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","70RD=.22 1LP=.77 14KY","https://bassalijewelry.com/images/items/RG11227DLP.jpg","","1","","1440","","","","","Fashion"
"RG11227DMP","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","70RD=.22 1MP=.71 14KY","https://bassalijewelry.com/images/items/RG11227DMP.jpg","","2","","1320","","","","","Fashion"
"RG11227KDMP","","Bassali Jewelry","","Fashion","Ring","","M","14K Rose Gold","70RD=.22 1MP=.70 14KR","https://bassalijewelry.com/images/items/RG11227KDMP.jpg","","1","","1320","","","","","Fashion"
"RG11227WDBA","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","70RD=.22 1BAGA=.71 14KW","https://bassalijewelry.com/images/items/RG11227WDBA.jpg","","1","","1440","","","","","Fashion"
"RG11227WDLP","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","70RD=.22 1LP=.73 14KW","https://bassalijewelry.com/images/items/RG11227WDLP.jpg","","2","","1440","","","","","Fashion"
"RG11231D","","Bassali Jewelry","","Fashion","Ring","","M","14K Yellow Gold","71RD=.17 14K","https://bassalijewelry.com/images/items/RG11231D.jpg","","1","","1020","","","","","Fashion"
"RG11232WD","","Bassali Jewelry","","Fashion","Ring","","M","14K White Gold","42RD=.09 14K","https://bassalijewelry.com/images/items/RG11232WD.jpg","","1","","750","","","","","Fashion"
"RG11249WD","","Bassali Jewelry","","Fashion","Ring","","M","18K White Gold","10RD=.10 9BG=.29 18K","https://bassalijewelry.com/images/items/RG11249WD.jpg","","1","","1920","","","","","Cluster"
"RG11253D","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K Yellow Gold","64RD=.31 18KY","https://bassalijewelry.com/images/items/RG11253D.jpg","","1","","1920","","","","","Band"
"RG11253KD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K Rose Gold","64RD=.31 18KR","https://bassalijewelry.com/images/items/RG11253KD.jpg","","1","","1920","","","","","Band"
"RG11253WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","64RD=.31 18KW","https://bassalijewelry.com/images/items/RG11253WD.jpg","","1","","1920","","","","","Band"
"RG11255WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","69RD=.28 28BD=.72 18K","https://bassalijewelry.com/images/items/RG11255WD.jpg","","1","","4800","","","","","Band"
"RG11259WD","","Bassali Jewelry","","Bridal-engagement","Ring","","M","18K White Gold","159RD=.75 18K","https://bassalijewelry.com/images/items/RG11259WD (2).jpg","","1","","3960","","","","","Band"
